Date,Price,Open,High,Low,Vol.,Change %
10/11/2023,196.07,195.47,199.62,194.27,7.39M,1.31%
10/10/2023,193.53,190.01,194.3,188.76,8.06M,2.67%
10/09/2023,188.49,188,189.49,185.68,4.58M,0.59%
10/06/2023,187.38,185.37,188.64,182.55,5.36M,0.59%
10/05/2023,186.29,186.16,188.1,184.13,4.33M,-0.24%
10/04/2023,186.73,188.85,190.63,184.34,7.42M,-1.16%
10/03/2023,188.92,188.63,192.49,188.2,7.29M,0.58%
10/02/2023,187.83,191.47,192.44,186.93,5.24M,-2.01%
09/29/2023,191.68,191.92,192.95,190.17,5.16M,0.66%
09/28/2023,190.43,193.7,195.26,190.03,8.01M,-2.57%
09/27/2023,195.46,196.01,196.4,192.77,4.02M,-0.09%
09/26/2023,195.64,197.79,199.39,195.42,3.67M,-1.58%
09/25/2023,198.78,196.84,198.98,195.19,3.53M,0.54%
09/22/2023,197.71,199.96,200.74,197.14,4.45M,-1.12%
09/21/2023,199.95,201,203.6,199.71,4.75M,-1.20%
09/20/2023,202.37,205.87,206.25,202.31,3.74M,-1.03%
09/19/2023,204.48,205.4,205.66,202.39,4.04M,-0.31%
09/18/2023,205.12,207.91,207.91,204.98,4.30M,-1.44%
09/15/2023,208.11,209.28,209.83,206.88,4.67M,-0.45%
09/14/2023,209.05,209.14,210.44,208.1,3.97M,0.31%
09/13/2023,208.4,210,212.18,207.75,3.54M,-1.07%
09/12/2023,210.65,209.35,212.26,208.58,3.26M,-0.17%
09/11/2023,211.01,213.76,214.2,208.77,4.52M,-0.12%
09/08/2023,211.27,215.82,216,210.51,5.76M,-2.21%
09/07/2023,216.05,217.5,220.55,214.86,4.93M,-0.87%
09/06/2023,217.95,221.77,222.79,216.42,4.23M,-2.08%
09/05/2023,222.57,223.1,224.09,221.2,3.25M,-0.37%
09/01/2023,223.4,226,226.23,221.95,3.66M,-0.28%
08/31/2023,224.03,229.33,230.43,222.93,6.95M,-2.11%
08/30/2023,228.85,227.08,231.17,226.65,3.33M,0.70%
08/29/2023,227.25,225.88,229.4,225.66,3.72M,0.08%
08/28/2023,227.06,224.21,227.45,223.29,4.64M,1.63%
